Chegada,Mercadoria,Quantidade,Origem,Sentido,Porto
04/11/2024 07:00:00,PELLETS A GRANEL,2,GRANEIS DE ORIGEM VEGETAL,Exportação,Porto de Santos
06/11/2024 18:00:00,MILHO A GRANEL,1,GRANEIS DE ORIGEM VEGETAL,Exportação,Porto de Santos
21/10/2024 20:00:00,MILHO A GRANEL,1,GRANEIS DE ORIGEM VEGETAL,Exportação,Porto de Santos
23/10/2024 20:12:00,MILHO A GRANEL,1,GRANEIS DE ORIGEM VEGETAL,Exportação,Porto de Santos
24/10/2024 05:00:00,MILHO A GRANEL,1,GRANEIS DE ORIGEM VEGETAL,Exportação,Porto de Santos
26/10/2024 05:30:00,MILHO A GRANEL,1,GRANEIS DE ORIGEM VEGETAL,Exportação,Porto de Santos
27/10/2024 05:24:00,MILHO A GRANEL,1,GRANEIS DE ORIGEM VEGETAL,Exportação,Porto de Santos
29/10/2024,MILHO A GRANEL,4,GRANEIS DE ORIGEM VEGETAL,Exportação,Porto de Santos
29/10/2024 08:00:00,MILHO A GRANEL,1,GRANEIS DE ORIGEM VEGETAL,Exportação,Porto de Santos
30/10/2024,MILHO A GRANEL,1,GRANEIS DE ORIGEM VEGETAL,Exportação,Porto de Santos
31/10/2024 08:00:00,PELLETS A GRANEL,1,GRANEIS DE ORIGEM VEGETAL,Exportação,Porto de Santos
31/10/2024 18:00:00,PELLETS A GRANEL,1,GRANEIS DE ORIGEM VEGETAL,Exportação,Porto de Santos
01/10/2024 22:54:00,FERTILIZANTES,1,GRANEIS SOLIDOS - IMPORTACAO,Importação,Porto de Santos
01/11/2024 11:00:00,FERTILIZANTES,1,GRANEIS SOLIDOS - IMPORTACAO,Importação,Porto de Santos
03/11/2024 07:00:00,GRAN.SOLIDO NAO ESPECIF,1,GRANEIS SOLIDOS - IMPORTACAO,Importação,Porto de Santos
04/10/2024 17:48:00,FERTILIZANTES,1,GRANEIS SOLIDOS - IMPORTACAO,Importação,Porto de Santos
06/10/2024 16:36:00,FERTILIZANTES,1,GRANEIS SOLIDOS - IMPORTACAO,Importação,Porto de Santos
09/10/2024 23:00:00,FRUTAS FRESCAS,1,GRANEIS SOLIDOS - IMPORTACAO,Importação,Porto de Santos
10/10/2024 07:00:00,FERTILIZANTES,1,GRANEIS SOLIDOS - IMPORTACAO,Importação,Porto de Santos
11/10/2024 00:06:00,GRAN.SOLIDO NAO ESPECIF,1,GRANEIS SOLIDOS - IMPORTACAO,Importação,Porto de Santos
15/10/2024 04:40:00,FERTILIZANTES,1,GRANEIS SOLIDOS - IMPORTACAO,Importação,Porto de Santos
15/10/2024 11:00:00,FERTILIZANTES,1,GRANEIS SOLIDOS - IMPORTACAO,Importação,Porto de Santos
15/11/2024 18:00:00,FERTILIZANTES,1,GRANEIS SOLIDOS - IMPORTACAO,Importação,Porto de Santos
16/10/2024 03:30:00,FERTILIZANTES,1,GRANEIS SOLIDOS - IMPORTACAO,Importação,Porto de Santos
18/10/2024 16:00:00,FERTILIZANTES,1,GRANEIS SOLIDOS - IMPORTACAO,Importação,Porto de Santos
20/10/2024 09:00:00,GRAN.SOLIDO NAO ESPECIF,1,GRANEIS SOLIDOS - IMPORTACAO,Importação,Porto de Santos
20/10/2024 13:36:00,FERTILIZANTES,1,GRANEIS SOLIDOS - IMPORTACAO,Importação,Porto de Santos
24/11/2024 15:54:00,ENXOFRE A GRANEL,1,GRANEIS SOLIDOS - IMPORTACAO,Importação,Porto de Santos
